battleLabel,date,date_precision,locationLabel,lat,lon,sultan,sultan_wikidata,part_ofLabel,wikidata_url
Fall of Navarino,1501-06-07,day,Pylos,36.9139,21.6964,Bayezid II,Q170068,Second Ottoman–Venetian War,http://www.wikidata.org/entity/Q137662207
Fall of Durrës,1501-08-27,day,Durrës,41.3133,19.4458,Bayezid II,Q170068,Second Ottoman–Venetian War,http://www.wikidata.org/entity/Q137662208
Battle of Ruvo,1503-02-23,day,Ruvo di Puglia,41.1173,16.4837,Bayezid II,Q170068,Second War of Naples,http://www.wikidata.org/entity/Q2072513
Battle of Cerignola,1503-05-08,day,Cerignola,41.2667,15.9000,Bayezid II,Q170068,Second War of Naples,http://www.wikidata.org/entity/Q2264459
Battle of Garigliano,1504-01-08,day,Gaeta,41.2167,13.5667,Bayezid II,Q170068,Italian Wars of 1499–1504,http://www.wikidata.org/entity/Q1443091
Battle of Yenişehir,1513-05-04,day,Yenişehir,40.2644,29.6531,Selim Iᵉʳ,Q170071,Ottoman Civil War of 1509–13,http://www.wikidata.org/entity/Q85976551
Battle of Dubica,1513-08-16,day,Hrvatska Dubica,45.1893,16.7985,Selim Iᵉʳ,Q170071,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q18712913
Battle of Jajce,1518-01-01,year,Jajce,44.3403,17.2572,Selim Iᵉʳ,Q170071,,http://www.wikidata.org/entity/Q60789146
Siege of Belgrade,1521-07-05,day,Belgrade,44.8178,20.4569,Soliman Iᵉʳ,Q44058,Ottoman–Hungarian Wars,http://www.wikidata.org/entity/Q535542
Siege of Rhodes,1522-07-06,day,Rhodes,36.1700,27.9200,Soliman Iᵉʳ,Q44058,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q767935
Battle of Schladming,1525-07-13,day,Schladming,47.3942,13.6892,Soliman Iᵉʳ,Q44058,,http://www.wikidata.org/entity/Q136033321
Battle of Mohács,1526-08-29,day,Sátorhely,45.9414,18.6335,Soliman Iᵉʳ,Q44058,Ottoman–Hungarian Wars,http://www.wikidata.org/entity/Q178510
Battle of Szőlős,1527-05-01,month,Seleuș,46.3833,21.7167,Soliman Iᵉʳ,Q44058,Hungarian campaign of 1527–1528,http://www.wikidata.org/entity/Q1314226
Battle of Capo d'Orso,1528-05-08,day,Gulf of Salerno,40.5167,14.7000,Soliman Iᵉʳ,Q44058,War of the League of Cognac,http://www.wikidata.org/entity/Q38251286
Attack on Modon,1531-09-11,day,Methoni,36.8217,21.7069,Soliman Iᵉʳ,Q44058,Ottoman–Habsburg Wars,http://www.wikidata.org/entity/Q134437692
Siege of Güns,1532-08-15,day,Kőszeg,47.3888,16.5407,Soliman Iᵉʳ,Q44058,Habsburg–Ottoman wars in Hungary,http://www.wikidata.org/entity/Q673641
Battle of Leobersdorf,1532-09-29,day,Leobersdorf,47.9286,16.2167,Soliman Iᵉʳ,Q44058,Habsburg–Ottoman wars in Hungary,http://www.wikidata.org/entity/Q368207
Battle of Antipaxos,1537-08-01,month,Antipaxos,39.1486,20.2314,Soliman Iᵉʳ,Q44058,Ottoman–Spanish War,http://www.wikidata.org/entity/Q134994090
Battle of Đakovo,1537-10-09,day,Gorjani,45.4000,18.3667,Soliman Iᵉʳ,Q44058,Habsburg–Ottoman wars in Hungary,http://www.wikidata.org/entity/Q904938
Battle of Preveza,1538-10-08,day,Preveza,38.9575,20.7517,Soliman Iᵉʳ,Q44058,Third Ottoman–Venetian War,http://www.wikidata.org/entity/Q1054975
Battle of Otočac (1543),1543-08-01,month,Otočac,44.8697,15.2372,Soliman Iᵉʳ,Q44058,Hundred Years' Croatian–Ottoman War,http://www.wikidata.org/entity/Q134592293
Battle of Szeged,1552-02-01,month,Szeged,46.2500,20.1667,Soliman Iᵉʳ,Q44058,Habsburg–Ottoman wars in Hungary,http://www.wikidata.org/entity/Q132528606
Battle of Szeged,1552-03-11,day,Szeged,46.2500,20.1667,Soliman Iᵉʳ,Q44058,Habsburg–Ottoman wars in Hungary,http://www.wikidata.org/entity/Q132528606
Battle of Hrastovica,1561-01-01,year,Brest Pokupski,45.4533,16.2570,Soliman Iᵉʳ,Q44058,,http://www.wikidata.org/entity/Q60789142
Battle of Lipari,1561-07-01,month,Lipari,38.4673,14.9554,Soliman Iᵉʳ,Q44058,Ottoman–Spanish War,http://www.wikidata.org/entity/Q118946352
Battle of Verbia,1561-11-28,day,Dimăcheni,47.9047,26.5824,Soliman Iᵉʳ,Q44058,,http://www.wikidata.org/entity/Q61748935
